STATION,STATION_NAME,DATE,MNTM
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19260701,208
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19260801,202
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19260901,161
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19261001,106
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19261101,55
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19261201,-32
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19270101,-28
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19270201,-13
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19270301,37
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19270401,77
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19270501,118
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19270601,168
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19270701,209
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19270801,185
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19270901,169
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19271001,128
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19271101,75
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19271201,2
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19280101,-20
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19280201,-33
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19280301,7
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19280401,65
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19280501,119
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19280601,170
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19280701,214
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19280801,221
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19280901,152
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19281001,120
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19281101,49
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19281201,14
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19290101,-38
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19290201,-24
